SAMPLE_NUMBER,LOGIN_DATE,ANALYSIS,ASSIGNED_OPERATOR,PRODUCT_GRADE,REPORTED_NAME,ENTRY,REPORTED_UNITS,TEXT_ID
4923614,20/03/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.046718576,MEQ_02_KGF,QC-SRM21J-4923614
4927855,21/03/2013 8:43,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.807666642,MEQ_02_KGF,QC-SRM21J-4927855
4932825,22/03/2013 9:39,PVAL050204,GMESSAIKE,SRM,Peroxide Value,0.74112861,MEQ_02_KGF,QC-SRM21J-4932825
4938505,25/03/2013 9:02,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.249536077,MEQ_02_KGF,QC-SRM21J-4938505
4941963,26/03/2013 8:55,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.006080302,MEQ_02_KGF,QC-SRM21J-4941963
4946144,27/03/2013 8:51,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.440626359,MEQ_02_KGF,QC-SRM21J-4946144
4951687,28/03/2013 11:22,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.907648138,MEQ_02_KGF,QC-SRM21J-4951687
4960429,2/04/2013 8:48,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.687354796,MEQ_02_KGF,QC-SRM21J-4960429
4963759,3/04/2013 8:58,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.039639347,MEQ_02_KGF,QC-SRM21J-4963759
4967467,4/04/2013 8:50,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.799868045,MEQ_02_KGF,QC-SRM21J-4967467
4971467,5/04/2013 9:10,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.333427573,MEQ_02_KGF,QC-SRM21J-4971467
4977677,8/04/2013 9:00,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.511472275,MEQ_02_KGF,QC-SRM21J-4977677
4980753,9/04/2013 8:42,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.701463625,MEQ_02_KGF,QC-SRM21J-4980753
4984634,10/04/2013 8:51,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.389896119,MEQ_02_KGF,QC-SRM21J-4984634
4988749,11/04/2013 8:47,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.34188457,MEQ_02_KGF,QC-SRM21J-4988749
5002511,16/04/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.223312759,MEQ_02_KGF,QC-SRM21J-5002511
5006657,17/04/2013 8:59,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.624541015,MEQ_02_KGF,QC-SRM21J-5006657
5010244,18/04/2013 6:37,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.491873637,MEQ_02_KGF,QC-SRM21J-5010244
5021506,22/04/2013 8:55,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.343708551,MEQ_02_KGF,QC-SRM21J-5021506
5024705,23/04/2013 9:13,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.048673031,MEQ_02_KGF,QC-SRM21J-5024705
5034395,26/04/2013 6:38,PVAL050204,GMESSAIKE,SRM,Peroxide Value,0.711621234,MEQ_02_KGF,QC-SRM21J-5034395
5040481,29/04/2013 9:27,PVAL050204,MMITCHELL,SRM,Peroxide Value,3.674720683,MEQ_02_KGF,QC-SRM21J-5040481
5040530,29/04/2013 9:33,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.252610291,MEQ_02_KGF,QC-SRM21J-5040530
5044437,30/04/2013 12:52,PVAL050204,BCOAD,SRM,Peroxide Value,1.21644677,MEQ_02_KGF,QC-SRM21J-5044437
5044878,30/04/2013 14:25,PVAL050204,BCOAD,SRM,Peroxide Value,1.788817404,MEQ_02_KGF,QC-SRM21J-5044878
5046749,1/05/2013 8:45,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.808884427,MEQ_02_KGF,QC-SRM21J-5046749
5050221,2/05/2013 6:32,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.622153869,MEQ_02_KGF,QC-SRM21J-5050221
5054505,3/05/2013 6:37,PVAL050204,BCOAD,SRM,Peroxide Value,2.075949367,MEQ_02_KGF,QC-SRM21J-5054505
5055234,3/05/2013 9:57,PVAL050204,MMITCHELL,SRM,Peroxide Value,3.31279484,MEQ_02_KGF,QC-SRM21J-5055234
5055283,3/05/2013 9:59,PVAL050204,MMITCHELL,SRM,Peroxide Value,3.299213666,MEQ_02_KGF,QC-SRM21J-5055283
5061568,6/05/2013 11:25,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.476348815,MEQ_02_KGF,QC-SRM21J-5061568
5063769,7/05/2013 8:54,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.559507524,MEQ_02_KGF,QC-SRM21J-5063769
5069009,8/05/2013 12:19,PVAL050204,BCOAD,SRM,Peroxide Value,2.364736011,MEQ_02_KGF,QC-SRM21J-5069009
5071826,9/05/2013 8:48,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.158312666,MEQ_02_KGF,QC-SRM21J-5071826
5074312,9/05/2013 15:32,PVAL050204,BCOAD,SRM,Peroxide Value,2.94829102,MEQ_02_KGF,QC-SRM21J-5074312
5082303,13/05/2013 12:45,PVAL050204,BCOAD,SRM,Peroxide Value,3.344607612,MEQ_02_KGF,QC-SRM21J-5082303
5084794,14/05/2013 8:43,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.506183746,MEQ_02_KGF,QC-SRM21J-5084794
5104020,20/05/2013 12:35,PVAL050204,BCOAD,SRM,Peroxide Value,2.654426174,MEQ_02_KGF,QC-SRM21J-5104020
5111634,22/05/2013 12:41,PVAL050204,BCOAD,SRM,Peroxide Value,2.847854356,MEQ_02_KGF,QC-SRM21J-5111634
5117614,24/05/2013 8:46,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.702667534,MEQ_02_KGF,QC-SRM21J-5117614
5125217,27/05/2013 12:42,PVAL050204,BCOAD,SRM,Peroxide Value,3.039215686,MEQ_02_KGF,QC-SRM21J-5125217
5127418,28/05/2013 9:31,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.89898642,MEQ_02_KGF,QC-SRM21J-5127418
5137946,31/05/2013 8:50,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.165028453,MEQ_02_KGF,QC-SRM21J-5137946
5143578,3/06/2013 8:46,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.971415459,MEQ_02_KGF,QC-SRM21J-5143578
5150386,5/06/2013 8:41,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.409288012,MEQ_02_KGF,QC-SRM21J-5150386
5154065,6/06/2013 8:41,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.472889883,MEQ_02_KGF,QC-SRM21J-5154065
5157990,7/06/2013 7:44,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.597971628,MEQ_02_KGF,QC-SRM21J-5157990
5165645,11/06/2013 8:40,PVAL050204,MMITCHELL,SRM,Peroxide Value,2.122221715,MEQ_02_KGF,QC-SRM21J-5165645
5170498,12/06/2013 12:01,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.759172886,MEQ_02_KGF,QC-SRM21J-5170498
5176682,14/06/2013 8:45,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.462566734,MEQ_02_KGF,QC-SRM21J-5176682
5186295,18/06/2013 8:45,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.582227146,MEQ_02_KGF,QC-SRM21J-5186295
5194493,20/06/2013 9:08,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.821822693,MEQ_02_KGF,QC-SRM21J-5194493
5204979,24/06/2013 9:33,PVAL050204,MMITCHELL,SRM,Peroxide Value,3.842359799,MEQ_02_KGF,QC-SRM21J-5204979
5207777,25/06/2013 8:56,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.556687993,MEQ_02_KGF,QC-SRM21J-5207777
5211558,26/06/2013 8:43,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.929979632,MEQ_02_KGF,QC-SRM21J-5211558
5218410,27/06/2013 8:59,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.579957228,MEQ_02_KGF,QC-SRM21J-5218410
5231050,2/07/2013 8:40,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.885590152,MEQ_02_KGF,QC-SRM21J-5231050
5236822,3/07/2013 12:42,PVAL050204,BCOAD,SRM,Peroxide Value,1.719424057,MEQ_02_KGF,QC-SRM21J-5236822
5239339,4/07/2013 8:56,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.726910527,MEQ_02_KGF,QC-SRM21J-5239339
5243138,5/07/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.185940862,MEQ_02_KGF,QC-SRM21J-5243138
5248932,8/07/2013 8:55,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.568861198,MEQ_02_KGF,QC-SRM21J-5248932
5251674,9/07/2013 7:59,PVAL050204,GMESSAIKE,SRM,Peroxide Value,2.419912127,MEQ_02_KGF,QC-SRM21J-5251674
5255562,10/07/2013 9:11,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.074937392,MEQ_02_KGF,QC-SRM21J-5255562
5259649,11/07/2013 9:02,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.883099352,MEQ_02_KGF,QC-SRM21J-5259649
5263392,12/07/2013 8:20,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.602801511,MEQ_02_KGF,QC-SRM21J-5263392
5268921,15/07/2013 8:45,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.638670269,MEQ_02_KGF,QC-SRM21J-5268921
5275635,17/07/2013 8:00,PVAL050204,GMESSAIKE,SRM,Peroxide Value,3.346798505,MEQ_02_KGF,QC-SRM21J-5275635
5279559,18/07/2013 8:48,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.522190226,MEQ_02_KGF,QC-SRM21J-5279559
5296516,24/07/2013 8:50,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.428231528,MEQ_02_KGF,QC-SRM21J-5296516
5297788,24/07/2013 11:08,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.428231528,MEQ_02_KGF,QC-SRM21J-5297788
5300547,25/07/2013 9:01,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.52858304,MEQ_02_KGF,QC-SRM21J-5300547
5306460,26/07/2013 14:50,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.431026558,MEQ_02_KGF,QC-SRM21J-5306460
5310106,29/07/2013 8:47,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.110941554,MEQ_02_KGF,QC-SRM21J-5310106
5313386,30/07/2013 8:48,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.828603142,MEQ_02_KGF,QC-SRM21J-5313386
5316954,31/07/2013 8:49,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.744139514,MEQ_02_KGF,QC-SRM21J-5316954
5321202,1/08/2013 8:44,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.533573247,MEQ_02_KGF,QC-SRM21J-5321202
5332720,5/08/2013 12:51,PVAL050204,BCOAD,SRM,Peroxide Value,2.896307281,MEQ_02_KGF,QC-SRM21J-5332720
5334492,6/08/2013 8:57,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.599237842,MEQ_02_KGF,QC-SRM21J-5334492
5338679,7/08/2013 8:50,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.436799139,MEQ_02_KGF,QC-SRM21J-5338679
5342921,8/08/2013 8:53,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.682149967,MEQ_02_KGF,QC-SRM21J-5342921
5346630,8/08/2013 18:51,PVAL050204,BCOAD,SRM,Peroxide Value,1.845120313,MEQ_02_KGF,QC-SRM21J-5346630
5347235,9/08/2013 9:05,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.845120313,MEQ_02_KGF,QC-SRM21J-5347235
5354464,12/08/2013 9:08,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.450061652,MEQ_02_KGF,QC-SRM21J-5354464
5357468,13/08/2013 8:42,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.81498491,MEQ_02_KGF,QC-SRM21J-5357468
5366131,15/08/2013 9:01,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.070936945,MEQ_02_KGF,QC-SRM21J-5366131
5367938,15/08/2013 12:55,PVAL050204,BCOAD,SRM,Peroxide Value,2.047177347,MEQ_02_KGF,QC-SRM21J-5367938
5370727,16/08/2013 8:58,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.047177347,MEQ_02_KGF,QC-SRM21J-5370727
5378641,19/08/2013 13:20,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.150442478,MEQ_02_KGF,QC-SRM21J-5378641
5380642,20/08/2013 9:14,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.291314374,MEQ_02_KGF,QC-SRM21J-5380642
5393099,23/08/2013 8:53,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.62106443,MEQ_02_KGF,QC-SRM21J-5393099
5400141,26/08/2013 9:17,PVAL050204,GMESSAIKE,SRM,Peroxide Value,3.901149087,MEQ_02_KGF,QC-SRM21J-5400141
5403562,27/08/2013 9:00,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.350338365,MEQ_02_KGF,QC-SRM21J-5403562
5407540,28/08/2013 7:54,PVAL050204,GMESSAIKE,SRM,Peroxide Value,2.034487338,MEQ_02_KGF,QC-SRM21J-5407540
5412234,29/08/2013 8:52,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.364454218,MEQ_02_KGF,QC-SRM21J-5412234
5423797,2/09/2013 9:15,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.397134084,MEQ_02_KGF,QC-SRM21J-5423797
5427396,3/09/2013 9:11,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.65767103,MEQ_02_KGF,QC-SRM21J-5427396
5441936,6/09/2013 8:24,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.188460552,MEQ_02_KGF,QC-SRM21J-5441936
5450774,9/09/2013 13:03,PVAL050204,BCOAD,SRM,Peroxide Value,3.131452168,MEQ_02_KGF,QC-SRM21J-5450774
5452959,10/09/2013 8:54,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,3.131452168,MEQ_02_KGF,QC-SRM21J-5452959
5457942,11/09/2013 9:00,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.779403245,MEQ_02_KGF,QC-SRM21J-5457942
5462454,12/09/2013 9:02,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.318504885,MEQ_02_KGF,QC-SRM21J-5462454
5466519,13/09/2013 7:02,PVAL050204,BCOAD,SRM,Peroxide Value,2.638324392,MEQ_02_KGF,QC-SRM21J-5466519
5474796,16/09/2013 8:22,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.001035331,PCT_M-M,QC-SRM21J-5474796
5478490,17/09/2013 8:57,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.387891751,PCT_M-M,QC-SRM21J-5478490
5481728,17/09/2013 17:48,PVAL050204,MNOSATTI,SRM,Peroxide Value,1.387891751,PCT_M-M,QC-SRM21J-5481728
5482584,18/09/2013 8:22,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.962745098,PCT_M-M,QC-SRM21J-5482584
5487007,19/09/2013 8:01,PVAL050204,GMESSAIKE,SRM,Peroxide Value,2.858954845,PCT_M-M,QC-SRM21J-5487007
5491390,20/09/2013 8:00,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.177510837,PCT_M-M,QC-SRM21J-5491390
5502219,24/09/2013 8:46,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.787786428,PCT_M-M,QC-SRM21J-5502219
5515586,27/09/2013 6:27,PVAL050204,BCOAD,SRM,Peroxide Value,3.829639889,PCT_M-M,QC-SRM21J-5515586
5523886,30/09/2013 9:40,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.647946934,PCT_M-M,QC-SRM21J-5523886
5531667,2/10/2013 9:00,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.799977394,PCT_M-M,QC-SRM21J-5531667
5535969,3/10/2013 7:49,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.981337481,PCT_M-M,QC-SRM21J-5535969
5540240,4/10/2013 6:28,PVAL050204,BCOAD,SRM,Peroxide Value,3.279781395,PCT_M-M,QC-SRM21J-5540240
5547696,7/10/2013 8:43,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.466295117,PCT_M-M,QC-SRM21J-5547696
5557978,9/10/2013 12:19,PVAL050204,BCOAD,SRM,Peroxide Value,3.442529088,PCT_M-M,QC-SRM21J-5557978
5561077,10/10/2013 8:43,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,0.952964146,PCT_M-M,QC-SRM21J-5561077
5566115,11/10/2013 8:47,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.175613997,PCT_M-M,QC-SRM21J-5566115
5577241,15/10/2013 8:56,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.37711316,PCT_M-M,QC-SRM21J-5577241
5591084,18/10/2013 6:35,PVAL050204,BCOAD,SRM,Peroxide Value,1.466264677,PCT_M-M,QC-SRM21J-5591084
5599353,21/10/2013 11:36,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.486137347,PCT_M-M,QC-SRM21J-5599353
5602788,22/10/2013 8:58,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.466264677,PCT_M-M,QC-SRM21J-5602788
5616457,25/10/2013 6:40,PVAL050204,BCOAD,SRM,Peroxide Value,2.596175366,PCT_M-M,QC-SRM21J-5616457
5616461,25/10/2013 6:42,PVAL050204,BCOAD,SRM,Peroxide Value,2.472413316,PCT_M-M,QC-SRM21J-5616461
5624260,28/10/2013 8:22,PVAL050204,GMESSAIKE,SRM,Peroxide Value,4.016687688,PCT_M-M,QC-SRM21J-5624260
5627852,29/10/2013 7:50,PVAL050204,VKIN,SRM,Peroxide Value,3.544605239,PCT_M-M,QC-SRM21J-5627852
5628309,29/10/2013 9:13,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,2.231327314,PCT_M-M,QC-SRM21J-5628309
5632751,30/10/2013 8:07,PVAL050204,GMESSAIKE,SRM,Peroxide Value,2.550263122,PCT_M-M,QC-SRM21J-5632751
5637413,31/10/2013 7:59,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.732632276,PCT_M-M,QC-SRM21J-5637413
5641665,1/11/2013 6:40,PVAL050204,BCOAD,SRM,Peroxide Value,4.224195993,PCT_M-M,QC-SRM21J-5641665
5641666,1/11/2013 6:42,PVAL050204,BCOAD,SRM,Peroxide Value,3.395768764,PCT_M-M,QC-SRM21J-5641666
5648658,4/11/2013 8:25,PVAL050204,SEKANAYAKE,SRM,Peroxide Value,1.185839679,PCT_M-M,QC-SRM21J-5648658
5653669,6/11/2013 7:41,PVAL050204,VKIN,SRM,Peroxide Value,2.637614679,PCT_M-M,QC-SRM21J-5653669
5672452,12/11/2013 7:53,PVAL050204,VKIN,SRM,Peroxide Value,2.455403987,PCT_M-M,QC-SRM21J-5672452
5677263,13/11/2013 8:48,PVAL050204,VKIN,SRM,Peroxide Value,2.838836866,PCT_M-M,QC-SRM21J-5677263
5682758,14/11/2013 11:27,PVAL050204,BCOAD,SRM,Peroxide Value,3.215289099,PCT_M-M,QC-SRM21J-5682758
5692988,18/11/2013 8:04,PVAL050204,GMESSAIKE,SRM,Peroxide Value,2.189472786,PCT_M-M,QC-SRM21J-5692988
5704934,21/11/2013 8:03,PVAL050204,VKIN,SRM,Peroxide Value,2.091256385,PCT_M-M,QC-SRM21J-5704934
5708626,21/11/2013 19:52,PVAL050204,BCOAD,SRM,Peroxide Value,2.601163172,PCT_M-M,QC-SRM21J-5708626
5719931,26/11/2013 7:59,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.972333592,PCT_M-M,QC-SRM21J-5719931
5726036,27/11/2013 13:02,PVAL050204,BCOAD,SRM,Peroxide Value,4.375817322,PCT_M-M,QC-SRM21J-5726036
5728704,28/11/2013 8:26,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.907232158,PCT_M-M,QC-SRM21J-5728704
5732959,29/11/2013 7:52,PVAL050204,GMESSAIKE,SRM,Peroxide Value,1.691462384,PCT_M-M,QC-SRM21J-5732959
5738461,1/12/2013 7:40,PVAL050204,VKIN,SRM,Peroxide Value,2.227681661,PCT_M-M,QC-SRM21J-5738461
